,State,Total Winter All Loss,Beekeepers,Beekeepers Exclusive to State,Colonies,Colonies Exclusive to State,year
0,Maryland,7.6%,14,100%,4013,100%,2007
1,Washington,13.7%,5,0%,21870,0%,2007
2,New Jersey,15.1%,15,80%,22622,12%,2007
3,Arkansas,17.4%,20,100%,16955,100%,2007
4,Maine,18%,6,16.7%,45937,0.1%,2007
5,New York,18.8%,12,75%,26950,33.6%,2007
6,New Mexico,20.5%,7,57.1%,4850,79.9%,2007
7,Utah,24.8%,28,100%,17709,100%,2007
8,North Dakota,25.6%,18,16.7%,103447,1.1%,2007
9,Pennsylvania,26.2%,192,98.4%,15974,48.3%,2007
10,Tennessee,26.6%,8,100%,516,100%,2007
11,Mississippi,26.8%,14,100%,9145,100%,2007
12,North Carolina,27.5%,16,100%,6532,100%,2007
13,Montana,27.7%,13,30.8%,55330,0.8%,2007
14,California,29.3%,36,13.9%,184085,9.2%,2007
15,MultiStateOperation,31.2%,43,0%,202865,0%,2007
16,Texas,32.3%,9,0%,52800,0%,2007
17,Wisconsin,33.8%,15,93.3%,6122,56.7%,2007
18,South Carolina,34.3%,5,80%,5590,64.2%,2007
19,Georgia,34.5%,15,100%,42876,100%,2007
20,Florida,40%,23,65.2%,50897,33.6%,2007
21,Iowa,40.3%,12,100%,723,100%,2007
22,Alabama,41.9%,16,100%,4848,100%,2007
23,Ohio,42.4%,9,100%,1365,100%,2007
24,West Virginia,51.6%,17,94.1%,3399,64%,2007
25,South Dakota,52%,18,83.3%,99011,81.6%,2007
26,Michigan,56.2%,15,93.3%,6607,94.7%,2007
27,Tennessee,8.1%,7,100%,42,100%,2008
28,Maryland,13.6%,15,100%,5931,100%,2008
29,Michigan,17.9%,21,90.5%,8722,62.2%,2008
30,Georgia,18.3%,44,95.5%,7269,87.1%,2008
31,Massachusetts,20.2%,38,97.4%,20174,0.9%,2008
32,Washington,20.4%,8,62.5%,43708,0.1%,2008
33,Maine,21.7%,38,92.1%,44971,0.4%,2008
34,Arkansas,22.2%,28,100%,7394,100%,2008
35,New York,24.1%,28,89.3%,35182,36.6%,2008
36,North Dakota,25.3%,24,12.5%,209297,0%,2008
37,California,25.7%,60,30%,266566,2.3%,2008
38,Florida,26.9%,20,55%,28304,29.1%,2008
39,MultiStateOperation,27%,52,0%,287476,0%,2008
40,South Dakota,27%,27,22.2%,162597,1.1%,2008
41,Texas,29.3%,11,9.1%,49401,0%,2008
42,Idaho,33.1%,14,92.9%,43449,87.8%,2008
43,Utah,36.4%,27,96.3%,18921,72%,2008
44,North Carolina,39.4%,51,100%,7635,100%,2008
45,Pennsylvania,40.5%,262,98.1%,11744,55%,2008
46,Rhode Island,40.6%,5,100%,30,100%,2008
47,Louisiana,41.8%,10,70%,60835,48.9%,2008
48,Ohio,44.6%,9,100%,51,100%,2008
49,Wisconsin,44.7%,17,100%,3871,100%,2008
50,Virginia,46.4%,36,100%,161,100%,2008
51,Mississippi,48.2%,15,73.3%,18352,7.2%,2008
52,Iowa,51.5%,17,100%,11703,100%,2008
53,New Jersey,10.4%,31,77.4%,3046,4%,2009
54,Nevada,11.2%,5,60%,1851,1.1%,2009
55,Arizona,12.8%,5,40%,2136,7.1%,2009
56,Utah,20.8%,64,93.8%,7768,13.2%,2009
57,Hawaii,21.4%,8,87.5%,51,92.2%,2009
58,Arkansas,23.5%,50,96%,447,98.4%,2009
59,New Hampshire,26.2%,76,93.4%,802,80.8%,2009
60,North Dakota,26.6%,30,26.7%,213327,3.9%,2009
61,Idaho,27.3%,27,92.6%,23211,0.9%,2009
62,South Dakota,28.1%,16,12.5%,143276,0%,2009
63,Nebraska,28.5%,17,70.6%,85286,0.1%,2009
64,Alabama,28.9%,46,95.7%,1357,95.3%,2009
65,Missouri,28.9%,42,95.2%,1045,73.2%,2009
66,Tennessee,28.9%,62,98.4%,661,84.4%,2009
67,Vermont,29%,68,94.1%,2648,69.7%,2009
68,Montana,29.5%,24,37.5%,105509,0.1%,2009
69,Oregon,29.7%,49,89.8%,27497,3.9%,2009
70,California,31.7%,166,62.6%,333778,6.4%,2009
71,Minnesota,31.8%,37,75.7%,101437,0.9%,2009
72,Washington,32.5%,144,92.4%,69351,1.6%,2009
73,Colorado,33%,99,95%,6627,14%,2009
74,Wisconsin,33.3%,155,92.3%,12097,33.2%,2009
75,MultiStateOperation,33.5%,161,0%,344782,0%,2009
76,South Carolina,34.4%,126,88.9%,9819,14.6%,2009
77,Rhode Island,37.3%,67,92.5%,262,93.5%,2009
78,New Mexico,37.9%,9,100%,3034,100%,2009
79,Virginia,38%,480,97.1%,3181,94.3%,2009
80,Texas,38.6%,59,83%,50739,8.5%,2009
81,Maryland,38.7%,171,94.2%,4145,80.8%,2009
82,New York,38.8%,162,85.8%,22154,31.3%,2009
83,Oklahoma,39%,10,90%,139,96.4%,2009
84,Kansas,39.3%,10,70%,5251,1.4%,2009
85,Pennsylvania,42.6%,546,96.9%,8843,57.7%,2009
86,Michigan,44.9%,231,96.5%,11776,34.2%,2009
87,North Carolina,45.6%,191,95.8%,3126,77.6%,2009
88,Mississippi,45.8%,14,85.7%,11196,3.3%,2009
89,Georgia,47.7%,87,92%,7165,8.9%,2009
90,Kentucky,48.9%,25,88%,613,61.3%,2009
91,West Virginia,50.1%,117,91.5%,1390,61.1%,2009
92,Connecticut,50.5%,58,87.9%,742,38.1%,2009
93,Ohio,52.4%,203,97%,4828,34.8%,2009
94,Florida,53.4%,153,89.5%,32900,12.2%,2009
