,Year,State,Value,census_value
0,2012,ALABAMA,"11,628","11,628"
1,2012,ALASKA,546,546
2,2012,ARIZONA,"58,461","58,461"
3,2012,ARKANSAS,"23,259","23,259"
4,2012,CALIFORNIA,"945,589","945,589"
5,2012,COLORADO,"34,813","34,813"
6,2012,CONNECTICUT,"5,639","5,639"
7,2012,DELAWARE,817,817
8,2012,FLORIDA,"206,654","206,654"
9,2012,GEORGIA,"64,213","64,213"
10,2012,HAWAII,"8,630","8,630"
11,2012,IDAHO,"103,604","103,604"
12,2012,ILLINOIS,"10,043","10,043"
13,2012,INDIANA,"13,017","13,017"
14,2012,IOWA,"30,004","30,004"
15,2012,KANSAS,"10,726","10,726"
16,2012,KENTUCKY,"12,669","12,669"
17,2012,LOUISIANA,"34,905","34,905"
18,2012,MAINE,"14,456","14,456"
19,2012,MARYLAND,"7,892","7,892"
20,2012,MASSACHUSETTS,"4,666","4,666"
21,2012,MICHIGAN,"78,995","78,995"
22,2012,MINNESOTA,"101,424","101,424"
23,2012,MISSISSIPPI,"36,097","36,097"
24,2012,MISSOURI,"14,561","14,561"
25,2012,MONTANA,"119,002","119,002"
26,2012,NEBRASKA,"44,895","44,895"
27,2012,NEVADA,"10,182","10,182"
28,2012,NEW HAMPSHIRE,"2,912","2,912"
29,2012,NEW JERSEY,"13,298","13,298"
30,2012,NEW MEXICO,"15,088","15,088"
31,2012,NEW YORK,"70,557","70,557"
32,2012,NORTH CAROLINA,"24,225","24,225"
33,2012,NORTH DAKOTA,"370,480","370,480"
34,2012,OHIO,"21,398","21,398"
35,2012,OKLAHOMA,"21,011","21,011"
36,2012,OREGON,"82,190","82,190"
37,2012,PENNSYLVANIA,"32,023","32,023"
38,2012,RHODE ISLAND,739,739
39,2012,SOUTH CAROLINA,"10,083","10,083"
40,2012,SOUTH DAKOTA,"210,447","210,447"
41,2012,TENNESSEE,"14,161","14,161"
42,2012,TEXAS,"136,830","136,830"
43,2012,UTAH,"26,083","26,083"
44,2012,VERMONT,"8,624","8,624"
45,2012,VIRGINIA,"14,334","14,334"
46,2012,WASHINGTON,"96,685","96,685"
47,2012,WEST VIRGINIA,"9,325","9,325"
48,2012,WISCONSIN,"49,661","49,661"
49,2012,WYOMING,"45,029","45,029"
50,2007,ALABAMA,"13,464","13,464"
51,2007,ALASKA,337,337
52,2007,ARIZONA,"42,239","42,239"
53,2007,ARKANSAS,"31,865","31,865"
54,2007,CALIFORNIA,"655,817","655,817"
55,2007,COLORADO,"33,201","33,201"
56,2007,CONNECTICUT,"4,427","4,427"
57,2007,DELAWARE,546,546
58,2007,FLORIDA,"158,905","158,905"
59,2007,GEORGIA,"93,661","93,661"
60,2007,HAWAII,"16,665","16,665"
61,2007,IDAHO,"119,379","119,379"
62,2007,ILLINOIS,"9,390","9,390"
63,2007,INDIANA,"11,305","11,305"
64,2007,IOWA,"29,110","29,110"
65,2007,KANSAS,"11,977","11,977"
66,2007,KENTUCKY,"10,796","10,796"
67,2007,LOUISIANA,"37,422","37,422"
68,2007,MAINE,"5,780","5,780"
69,2007,MARYLAND,"6,444","6,444"
70,2007,MASSACHUSETTS,"8,255","8,255"
71,2007,MICHIGAN,"74,362","74,362"
72,2007,MINNESOTA,"113,448","113,448"
73,2007,MISSISSIPPI,"22,032","22,032"
74,2007,MISSOURI,"21,372","21,372"
75,2007,MONTANA,"110,389","110,389"
76,2007,NEBRASKA,"36,666","36,666"
77,2007,NEVADA,991,991
78,2007,NEW HAMPSHIRE,"1,901","1,901"
79,2007,NEW JERSEY,"10,926","10,926"
80,2007,NEW MEXICO,"11,511","11,511"
81,2007,NEW YORK,"46,401","46,401"
82,2007,NORTH CAROLINA,"31,768","31,768"
