,Year,State,Value,Data Item_ADDED & REPLACED,Data Item_INVENTORY,"Data Item_INVENTORY, MAX","Data Item_LOSS, COLONY COLLAPSE DISORDER","Data Item_LOSS, DEADOUT"
0,1987,ALABAMA,46000,0,1,0,0,0
1,1987,ARIZONA,80000,0,1,0,0,0
2,1987,ARKANSAS,29000,0,1,0,0,0
3,1987,CALIFORNIA,540000,0,1,0,0,0
4,1987,COLORADO,44000,0,1,0,0,0
5,1987,CONNECTICUT,2000,0,1,0,0,0
6,1987,DELAWARE,1000,0,1,0,0,0
7,1987,FLORIDA,240000,0,1,0,0,0
8,1987,GEORGIA,120000,0,1,0,0,0
9,1987,HAWAII,9000,0,1,0,0,0
10,1987,IDAHO,120000,0,1,0,0,0
11,1987,ILLINOIS,28000,0,1,0,0,0
12,1987,INDIANA,25000,0,1,0,0,0
13,1987,IOWA,44000,0,1,0,0,0
14,1987,KANSAS,46000,0,1,0,0,0
15,1987,KENTUCKY,14000,0,1,0,0,0
16,1987,LOUISIANA,35000,0,1,0,0,0
17,1987,MAINE,9000,0,1,0,0,0
18,1987,MARYLAND,7000,0,1,0,0,0
19,1987,MASSACHUSETTS,11000,0,1,0,0,0
20,1987,MICHIGAN,93000,0,1,0,0,0
21,1987,MINNESOTA,160000,0,1,0,0,0
22,1987,MISSISSIPPI,19000,0,1,0,0,0
23,1987,MISSOURI,30000,0,1,0,0,0
24,1987,MONTANA,95000,0,1,0,0,0
25,1987,NEBRASKA,110000,0,1,0,0,0
26,1987,NEVADA,11000,0,1,0,0,0
27,1987,NEW HAMPSHIRE,1000,0,1,0,0,0
28,1987,NEW JERSEY,25000,0,1,0,0,0
29,1987,NEW MEXICO,19000,0,1,0,0,0
30,1987,NEW YORK,90000,0,1,0,0,0
31,1987,NORTH CAROLINA,20000,0,1,0,0,0
32,1987,NORTH DAKOTA,300000,0,1,0,0,0
33,1987,OHIO,55000,0,1,0,0,0
34,1987,OKLAHOMA,10000,0,1,0,0,0
35,1987,OREGON,55000,0,1,0,0,0
36,1987,PENNSYLVANIA,48000,0,1,0,0,0
37,1987,RHODE ISLAND,1000,0,1,0,0,0
38,1987,SOUTH CAROLINA,15000,0,1,0,0,0
39,1987,SOUTH DAKOTA,260000,0,1,0,0,0
40,1987,TENNESSEE,35000,0,1,0,0,0
41,1987,TEXAS,120000,0,1,0,0,0
42,1987,UTAH,35000,0,1,0,0,0
43,1987,VERMONT,7000,0,1,0,0,0
44,1987,VIRGINIA,25000,0,1,0,0,0
45,1987,WASHINGTON,75000,0,1,0,0,0
46,1987,WEST VIRGINIA,21000,0,1,0,0,0
47,1987,WISCONSIN,92000,0,1,0,0,0
48,1987,WYOMING,39000,0,1,0,0,0
49,1988,ALABAMA,42000,0,1,0,0,0
50,1988,ARIZONA,80000,0,1,0,0,0
51,1988,ARKANSAS,34000,0,1,0,0,0
52,1988,CALIFORNIA,600000,0,1,0,0,0
53,1988,COLORADO,48000,0,1,0,0,0
54,1988,CONNECTICUT,2000,0,1,0,0,0
55,1988,DELAWARE,1000,0,1,0,0,0
56,1988,FLORIDA,240000,0,1,0,0,0
57,1988,GEORGIA,115000,0,1,0,0,0
58,1988,HAWAII,9000,0,1,0,0,0
59,1988,IDAHO,127000,0,1,0,0,0
60,1988,ILLINOIS,28000,0,1,0,0,0
61,1988,INDIANA,29000,0,1,0,0,0
62,1988,IOWA,49000,0,1,0,0,0
63,1988,KANSAS,42000,0,1,0,0,0
64,1988,KENTUCKY,12000,0,1,0,0,0
65,1988,LOUISIANA,38000,0,1,0,0,0
66,1988,MAINE,14000,0,1,0,0,0
67,1988,MARYLAND,7000,0,1,0,0,0
68,1988,MASSACHUSETTS,15000,0,1,0,0,0
69,1988,MICHIGAN,95000,0,1,0,0,0
70,1988,MINNESOTA,160000,0,1,0,0,0
71,1988,MISSISSIPPI,21000,0,1,0,0,0
72,1988,MISSOURI,30000,0,1,0,0,0
73,1988,MONTANA,105000,0,1,0,0,0
74,1988,NEBRASKA,113000,0,1,0,0,0
75,1988,NEVADA,9000,0,1,0,0,0
76,1988,NEW HAMPSHIRE,1000,0,1,0,0,0
77,1988,NEW JERSEY,30000,0,1,0,0,0
78,1988,NEW MEXICO,21000,0,1,0,0,0
79,1988,NEW YORK,94000,0,1,0,0,0
80,1988,NORTH CAROLINA,21000,0,1,0,0,0
81,1988,NORTH DAKOTA,250000,0,1,0,0,0
82,1988,OHIO,50000,0,1,0,0,0
83,1988,OKLAHOMA,10000,0,1,0,0,0
84,1988,OREGON,60000,0,1,0,0,0
85,1988,PENNSYLVANIA,45000,0,1,0,0,0
86,1988,RHODE ISLAND,1000,0,1,0,0,0
87,1988,SOUTH CAROLINA,14000,0,1,0,0,0
88,1988,SOUTH DAKOTA,245000,0,1,0,0,0
89,1988,TENNESSEE,35000,0,1,0,0,0
90,1988,TEXAS,124000,0,1,0,0,0
91,1988,UTAH,36000,0,1,0,0,0
92,1988,VERMONT,7000,0,1,0,0,0
93,1988,VIRGINIA,25000,0,1,0,0,0
94,1988,WASHINGTON,65000,0,1,0,0,0
95,1988,WEST VIRGINIA,30000,0,1,0,0,0
96,1988,WISCONSIN,102000,0,1,0,0,0
97,1988,WYOMING,39000,0,1,0,0,0
98,1989,ALABAMA,41000,0,1,0,0,0
99,1989,ARIZONA,78000,0,1,0,0,0
100,1989,ARKANSAS,34000,0,1,0,0,0
101,1989,CALIFORNIA,620000,0,1,0,0,0
102,1989,COLORADO,50000,0,1,0,0,0
103,1989,CONNECTICUT,2000,0,1,0,0,0
104,1989,DELAWARE,1000,0,1,0,0,0
105,1989,FLORIDA,250000,0,1,0,0,0
106,1989,GEORGIA,116000,0,1,0,0,0
107,1989,HAWAII,9000,0,1,0,0,0
108,1989,IDAHO,140000,0,1,0,0,0
109,1989,ILLINOIS,29000,0,1,0,0,0
110,1989,INDIANA,28000,0,1,0,0,0
111,1989,IOWA,67000,0,1,0,0,0
112,1989,KANSAS,37000,0,1,0,0,0
113,1989,KENTUCKY,12000,0,1,0,0,0
114,1989,LOUISIANA,35000,0,1,0,0,0
115,1989,MAINE,17000,0,1,0,0,0
116,1989,MARYLAND,9000,0,1,0,0,0
117,1989,MASSACHUSETTS,8000,0,1,0,0,0
118,1989,MICHIGAN,102000,0,1,0,0,0
119,1989,MINNESOTA,165000,0,1,0,0,0
120,1989,MISSISSIPPI,24000,0,1,0,0,0
121,1989,MISSOURI,33000,0,1,0,0,0
122,1989,MONTANA,100000,0,1,0,0,0
123,1989,NEBRASKA,119000,0,1,0,0,0
124,1989,NEVADA,15000,0,1,0,0,0
125,1989,NEW HAMPSHIRE,1000,0,1,0,0,0
126,1989,NEW JERSEY,25000,0,1,0,0,0
127,1989,NEW MEXICO,23000,0,1,0,0,0
128,1989,NEW YORK,94000,0,1,0,0,0
129,1989,NORTH CAROLINA,25000,0,1,0,0,0
130,1989,NORTH DAKOTA,310000,0,1,0,0,0
