,Year,State,Value
0,1987,alabama,46000
1,1987,arizona,80000
2,1987,arkansas,29000
3,1987,california,540000
4,1987,colorado,44000
5,1987,connecticut,2000
6,1987,delaware,1000
7,1987,florida,240000
8,1987,georgia,120000
9,1987,hawaii,9000
10,1987,idaho,120000
11,1987,illinois,28000
12,1987,indiana,25000
13,1987,iowa,44000
14,1987,kansas,46000
15,1987,kentucky,14000
16,1987,louisiana,35000
17,1987,maine,9000
18,1987,maryland,7000
19,1987,massachusetts,11000
20,1987,michigan,93000
21,1987,minnesota,160000
22,1987,mississippi,19000
23,1987,missouri,30000
24,1987,montana,95000
25,1987,nebraska,110000
26,1987,nevada,11000
27,1987,new hampshire,1000
28,1987,new jersey,25000
29,1987,new mexico,19000
30,1987,new york,90000
31,1987,north carolina,20000
32,1987,north dakota,300000
33,1987,ohio,55000
34,1987,oklahoma,10000
35,1987,oregon,55000
36,1987,pennsylvania,48000
37,1987,rhode island,1000
38,1987,south carolina,15000
39,1987,south dakota,260000
40,1987,tennessee,35000
41,1987,texas,120000
42,1987,utah,35000
43,1987,vermont,7000
44,1987,virginia,25000
45,1987,washington,75000
46,1987,west virginia,21000
47,1987,wisconsin,92000
48,1987,wyoming,39000
49,1988,alabama,42000
50,1988,arizona,80000
51,1988,arkansas,34000
52,1988,california,600000
53,1988,colorado,48000
54,1988,connecticut,2000
55,1988,delaware,1000
56,1988,florida,240000
57,1988,georgia,115000
58,1988,hawaii,9000
59,1988,idaho,127000
60,1988,illinois,28000
61,1988,indiana,29000
62,1988,iowa,49000
63,1988,kansas,42000
64,1988,kentucky,12000
65,1988,louisiana,38000
66,1988,maine,14000
67,1988,maryland,7000
68,1988,massachusetts,15000
69,1988,michigan,95000
70,1988,minnesota,160000
71,1988,mississippi,21000
72,1988,missouri,30000
73,1988,montana,105000
74,1988,nebraska,113000
75,1988,nevada,9000
76,1988,new hampshire,1000
77,1988,new jersey,30000
78,1988,new mexico,21000
79,1988,new york,94000
80,1988,north carolina,21000
81,1988,north dakota,250000
82,1988,ohio,50000
83,1988,oklahoma,10000
84,1988,oregon,60000
85,1988,pennsylvania,45000
86,1988,rhode island,1000
87,1988,south carolina,14000
88,1988,south dakota,245000
89,1988,tennessee,35000
90,1988,texas,124000
91,1988,utah,36000
92,1988,vermont,7000
93,1988,virginia,25000
94,1988,washington,65000
95,1988,west virginia,30000
96,1988,wisconsin,102000
97,1988,wyoming,39000
98,1989,alabama,41000
99,1989,arizona,78000
100,1989,arkansas,34000
101,1989,california,620000
102,1989,colorado,50000
103,1989,connecticut,2000
104,1989,delaware,1000
105,1989,florida,250000
106,1989,georgia,116000
107,1989,hawaii,9000
108,1989,idaho,140000
109,1989,illinois,29000
110,1989,indiana,28000
111,1989,iowa,67000
112,1989,kansas,37000
113,1989,kentucky,12000
114,1989,louisiana,35000
115,1989,maine,17000
116,1989,maryland,9000
117,1989,massachusetts,8000
118,1989,michigan,102000
119,1989,minnesota,165000
120,1989,mississippi,24000
121,1989,missouri,33000
122,1989,montana,100000
123,1989,nebraska,119000
124,1989,nevada,15000
125,1989,new hampshire,1000
126,1989,new jersey,25000
127,1989,new mexico,23000
128,1989,new york,94000
129,1989,north carolina,25000
130,1989,north dakota,310000
131,1989,ohio,53000
132,1989,oklahoma,9000
133,1989,oregon,63000
134,1989,pennsylvania,41000
135,1989,rhode island,1000
136,1989,south carolina,15000
137,1989,south dakota,235000
138,1989,tennessee,25000
139,1989,texas,140000
140,1989,utah,47000
141,1989,vermont,6000
142,1989,virginia,23000
143,1989,washington,70000
144,1989,west virginia,32000
145,1989,wisconsin,108000
146,1989,wyoming,41000
147,1990,alabama,29000
148,1990,arizona,67000
149,1990,arkansas,42000
150,1990,california,480000
151,1990,colorado,55000
152,1990,connecticut,2000
153,1990,delaware,1000
154,1990,florida,220000
155,1990,georgia,111000
156,1990,hawaii,10000
157,1990,idaho,140000
158,1990,illinois,23000
159,1990,indiana,22000
160,1990,iowa,70000
161,1990,kansas,36000
162,1990,kentucky,8000
163,1990,louisiana,38000
164,1990,maine,20000
165,1990,maryland,7000
166,1990,massachusetts,15000
167,1990,michigan,100000
168,1990,minnesota,170000
169,1990,mississippi,24000
170,1990,missouri,30000
171,1990,montana,98000
172,1990,nebraska,118000
173,1990,nevada,17000
174,1990,new hampshire,1000
175,1990,new jersey,15000
176,1990,new mexico,29000
177,1990,new york,81000
178,1990,north carolina,20000
179,1990,north dakota,220000
180,1990,ohio,42000
181,1990,oklahoma,9000
182,1990,oregon,61000
183,1990,pennsylvania,41000
184,1990,rhode island,1000
185,1990,south carolina,12000
186,1990,south dakota,245000
187,1990,tennessee,19000
188,1990,texas,140000
189,1990,utah,47000
190,1990,vermont,6000
191,1990,virginia,16000
192,1990,washington,80000
193,1990,west virginia,30000
194,1990,wisconsin,112000
195,1990,wyoming,40000
196,1991,alabama,23000
197,1991,arizona,75000
198,1991,arkansas,47000
199,1991,california,550000
200,1991,colorado,50000
201,1991,florida,225000
202,1991,georgia,102000
203,1991,hawaii,10000
204,1991,idaho,140000
205,1991,illinois,21000
206,1991,indiana,21000
207,1991,iowa,70000
208,1991,kansas,35000
209,1991,kentucky,7000
210,1991,louisiana,40000
211,1991,maine,13000
212,1991,maryland,7000
213,1991,michigan,105000
214,1991,minnesota,180000
215,1991,mississippi,28000
216,1991,missouri,28000
217,1991,montana,86000
218,1991,nebraska,108000
219,1991,nevada,15000
220,1991,new jersey,11000
221,1991,new mexico,20000
222,1991,new york,77000
223,1991,north carolina,18000
224,1991,north dakota,215000
225,1991,ohio,48000
226,1991,oklahoma,9000
227,1991,oregon,56000
228,1991,pennsylvania,40000
229,1991,south carolina,11000
230,1991,south dakota,225000
231,1991,tennessee,14000
232,1991,texas,140000
233,1991,utah,45000
234,1991,vermont,6000
235,1991,virginia,16000
236,1991,washington,85000
237,1991,west virginia,26000
238,1991,wisconsin,110000
239,1991,wyoming,41000
240,1992,alabama,25000
241,1992,arizona,70000
242,1992,arkansas,45000
243,1992,california,490000
244,1992,colorado,52000
245,1992,florida,220000
246,1992,georgia,85000
247,1992,hawaii,9000
248,1992,idaho,135000
249,1992,illinois,16000
250,1992,indiana,15000
251,1992,iowa,65000
252,1992,kansas,28000
253,1992,kentucky,4000
254,1992,louisiana,45000
255,1992,maine,15000
256,1992,maryland,6000
257,1992,michigan,95000
258,1992,minnesota,190000
259,1992,mississippi,25000
260,1992,missouri,25000
261,1992,montana,87000
262,1992,nebraska,96000
263,1992,nevada,15000
264,1992,new jersey,8000
265,1992,new mexico,18000
266,1992,new york,70000
267,1992,north carolina,15000
268,1992,north dakota,240000
269,1992,ohio,38000
270,1992,oklahoma,9000
271,1992,oregon,52000
272,1992,pennsylvania,30000
273,1992,south carolina,11000
274,1992,south dakota,240000
275,1992,tennessee,7000
276,1992,texas,125000
277,1992,utah,47000
278,1992,vermont,6000
279,1992,virginia,13000
280,1992,washington,80000
281,1992,west virginia,23000
282,1992,wisconsin,105000
283,1992,wyoming,41000
284,1993,alabama,19000
285,1993,arizona,55000
286,1993,arkansas,50000
287,1993,california,500000
288,1993,colorado,53000
289,1993,florida,200000
290,1993,georgia,80000
291,1993,hawaii,9000
292,1993,idaho,133000
293,1993,illinois,15000
294,1993,indiana,12000
295,1993,iowa,56000
296,1993,kansas,23000
297,1993,kentucky,4000
298,1993,louisiana,47000
299,1993,maine,13000
300,1993,maryland,7000
301,1993,michigan,90000
302,1993,minnesota,180000
303,1993,mississippi,17000
304,1993,missouri,24000
305,1993,montana,95000
306,1993,nebraska,83000
307,1993,nevada,14000
308,1993,new jersey,11000
309,1993,new mexico,18000
310,1993,new york,65000
311,1993,north carolina,15000
312,1993,north dakota,220000
313,1993,ohio,30000
314,1993,oklahoma,6000
315,1993,oregon,53000
316,1993,pennsylvania,28000
317,1993,south carolina,11000
318,1993,south dakota,245000
319,1993,tennessee,8000
320,1993,texas,105000
321,1993,utah,42000
322,1993,vermont,6000
323,1993,virginia,10000
324,1993,washington,60000
325,1993,west virginia,20000
326,1993,wisconsin,100000
327,1993,wyoming,34000
328,1994,alabama,18000
329,1994,arizona,53000
330,1994,arkansas,55000
331,1994,california,400000
332,1994,colorado,45000
333,1994,florida,230000
334,1994,georgia,80000
335,1994,hawaii,9000
336,1994,idaho,127000
337,1994,illinois,13000
338,1994,indiana,13000
339,1994,iowa,52000
340,1994,kansas,19000
341,1994,kentucky,3000
342,1994,louisiana,40000
343,1994,maine,8000
344,1994,maryland,7000
345,1994,michigan,90000
346,1994,minnesota,170000
347,1994,mississippi,19000
348,1994,missouri,25000
349,1994,montana,119000
350,1994,nebraska,72000
351,1994,nevada,14000
352,1994,new jersey,11000
353,1994,new mexico,19000
354,1994,new york,68000
355,1994,north carolina,15000
356,1994,north dakota,235000
357,1994,ohio,27000
358,1994,oklahoma,5000
359,1994,oregon,50000
360,1994,pennsylvania,27000
361,1994,south carolina,10000
362,1994,south dakota,260000
363,1994,tennessee,6000
364,1994,texas,103000
365,1994,utah,43000
366,1994,vermont,5000
367,1994,virginia,11000
368,1994,washington,60000
369,1994,west virginia,20000
370,1994,wisconsin,75000
371,1994,wyoming,46000
372,1995,alabama,16000
373,1995,arizona,52000
374,1995,arkansas,55000
375,1995,california,420000
376,1995,colorado,45000
377,1995,florida,230000
378,1995,georgia,70000
379,1995,hawaii,8000
380,1995,idaho,125000
381,1995,illinois,11000
382,1995,indiana,12000
383,1995,iowa,45000
384,1995,kansas,17000
385,1995,kentucky,3000
386,1995,louisiana,38000
387,1995,maine,11000
388,1995,maryland,7000
389,1995,michigan,97000
390,1995,minnesota,165000
391,1995,mississippi,16000
392,1995,missouri,23000
393,1995,montana,106000
394,1995,nebraska,60000
