,State,Total Winter All Loss,Beekeepers,Beekeepers Exclusive to State,Colonies,Colonies Exclusive to State,year
0,Maryland,0.076,14,1.0,4013,1.0,2007.0
1,Washington,0.13699999999999998,5,0.0,21870,0.0,2007.0
2,New Jersey,0.151,15,0.8,22622,0.12,2007.0
3,Arkansas,0.174,20,1.0,16955,1.0,2007.0
4,Maine,0.18,6,0.16699999999999998,45937,0.001,2007.0
5,New York,0.188,12,0.75,26950,0.336,2007.0
6,New Mexico,0.205,7,0.5710000000000001,4850,0.799,2007.0
7,Utah,0.248,28,1.0,17709,1.0,2007.0
8,North Dakota,0.256,18,0.16699999999999998,103447,0.011000000000000001,2007.0
9,Pennsylvania,0.262,192,0.9840000000000001,15974,0.483,2007.0
10,Tennessee,0.266,8,1.0,516,1.0,2007.0
11,Mississippi,0.268,14,1.0,9145,1.0,2007.0
12,North Carolina,0.275,16,1.0,6532,1.0,2007.0
13,Montana,0.27699999999999997,13,0.308,55330,0.008,2007.0
14,California,0.293,36,0.139,184085,0.092,2007.0
15,MultiStateOperation,0.312,43,0.0,202865,0.0,2007.0
16,Texas,0.32299999999999995,9,0.0,52800,0.0,2007.0
17,Wisconsin,0.33799999999999997,15,0.9329999999999999,6122,0.5670000000000001,2007.0
18,South Carolina,0.34299999999999997,5,0.8,5590,0.642,2007.0
19,Georgia,0.345,15,1.0,42876,1.0,2007.0
20,Florida,0.4,23,0.652,50897,0.336,2007.0
21,Iowa,0.40299999999999997,12,1.0,723,1.0,2007.0
22,Alabama,0.419,16,1.0,4848,1.0,2007.0
23,Ohio,0.424,9,1.0,1365,1.0,2007.0
24,West Virginia,0.516,17,0.941,3399,0.64,2007.0
25,South Dakota,0.52,18,0.833,99011,0.816,2007.0
26,Michigan,0.562,15,0.9329999999999999,6607,0.9470000000000001,2007.0
27,Tennessee,0.081,7,1.0,42,1.0,2008.0
28,Maryland,0.136,15,1.0,5931,1.0,2008.0
29,Michigan,0.179,21,0.905,8722,0.622,2008.0
30,Georgia,0.183,44,0.955,7269,0.871,2008.0
31,Massachusetts,0.20199999999999999,38,0.9740000000000001,20174,0.009000000000000001,2008.0
32,Washington,0.204,8,0.625,43708,0.001,2008.0
33,Maine,0.217,38,0.9209999999999999,44971,0.004,2008.0
34,Arkansas,0.222,28,1.0,7394,1.0,2008.0
35,New York,0.24100000000000002,28,0.893,35182,0.366,2008.0
36,North Dakota,0.253,24,0.125,209297,0.0,2008.0
37,California,0.257,60,0.3,266566,0.023,2008.0
38,Florida,0.26899999999999996,20,0.55,28304,0.29100000000000004,2008.0
39,MultiStateOperation,0.27,52,0.0,287476,0.0,2008.0
40,South Dakota,0.27,27,0.222,162597,0.011000000000000001,2008.0
41,Texas,0.293,11,0.091,49401,0.0,2008.0
42,Idaho,0.331,14,0.929,43449,0.878,2008.0
43,Utah,0.364,27,0.963,18921,0.72,2008.0
44,North Carolina,0.39399999999999996,51,1.0,7635,1.0,2008.0
45,Pennsylvania,0.405,262,0.981,11744,0.55,2008.0
46,Rhode Island,0.406,5,1.0,30,1.0,2008.0
47,Louisiana,0.418,10,0.7,60835,0.489,2008.0
48,Ohio,0.446,9,1.0,51,1.0,2008.0
49,Wisconsin,0.447,17,1.0,3871,1.0,2008.0
50,Virginia,0.46399999999999997,36,1.0,161,1.0,2008.0
51,Mississippi,0.48200000000000004,15,0.733,18352,0.07200000000000001,2008.0
52,Iowa,0.515,17,1.0,11703,1.0,2008.0
53,New Jersey,0.10400000000000001,31,0.774,3046,0.04,2009.0
54,Nevada,0.11199999999999999,5,0.6,1851,0.011000000000000001,2009.0
55,Arizona,0.128,5,0.4,2136,0.071,2009.0
56,Utah,0.20800000000000002,64,0.938,7768,0.132,2009.0
57,Hawaii,0.214,8,0.875,51,0.922,2009.0
58,Arkansas,0.235,50,0.96,447,0.9840000000000001,2009.0
59,New Hampshire,0.262,76,0.934,802,0.8079999999999999,2009.0
60,North Dakota,0.266,30,0.267,213327,0.039,2009.0
61,Idaho,0.273,27,0.9259999999999999,23211,0.009000000000000001,2009.0
62,South Dakota,0.281,16,0.125,143276,0.0,2009.0
63,Nebraska,0.285,17,0.706,85286,0.001,2009.0
64,Alabama,0.289,46,0.9570000000000001,1357,0.953,2009.0
65,Missouri,0.289,42,0.9520000000000001,1045,0.732,2009.0
66,Tennessee,0.289,62,0.9840000000000001,661,0.8440000000000001,2009.0
67,Vermont,0.29,68,0.941,2648,0.6970000000000001,2009.0
68,Montana,0.295,24,0.375,105509,0.001,2009.0
69,Oregon,0.297,49,0.898,27497,0.039,2009.0
70,California,0.317,166,0.626,333778,0.064,2009.0
71,Minnesota,0.318,37,0.757,101437,0.009000000000000001,2009.0
72,Washington,0.325,144,0.924,69351,0.016,2009.0
73,Colorado,0.33,99,0.95,6627,0.14,2009.0
74,Wisconsin,0.33299999999999996,155,0.9229999999999999,12097,0.332,2009.0
75,MultiStateOperation,0.335,161,0.0,344782,0.0,2009.0
76,South Carolina,0.344,126,0.889,9819,0.146,2009.0
77,Rhode Island,0.373,67,0.925,262,0.935,2009.0
78,New Mexico,0.379,9,1.0,3034,1.0,2009.0
79,Virginia,0.38,480,0.971,3181,0.943,2009.0
80,Texas,0.386,59,0.83,50739,0.085,2009.0
81,Maryland,0.387,171,0.9420000000000001,4145,0.8079999999999999,2009.0
82,New York,0.38799999999999996,162,0.858,22154,0.313,2009.0
83,Oklahoma,0.39,10,0.9,139,0.9640000000000001,2009.0
84,Kansas,0.39299999999999996,10,0.7,5251,0.013999999999999999,2009.0
85,Pennsylvania,0.426,546,0.9690000000000001,8843,0.5770000000000001,2009.0
86,Michigan,0.449,231,0.965,11776,0.342,2009.0
87,North Carolina,0.456,191,0.958,3126,0.7759999999999999,2009.0
88,Mississippi,0.45799999999999996,14,0.857,11196,0.033,2009.0
89,Georgia,0.47700000000000004,87,0.92,7165,0.08900000000000001,2009.0
90,Kentucky,0.489,25,0.88,613,0.613,2009.0
91,West Virginia,0.501,117,0.915,1390,0.611,2009.0
92,Connecticut,0.505,58,0.879,742,0.381,2009.0
93,Ohio,0.524,203,0.97,4828,0.348,2009.0
94,Florida,0.534,153,0.895,32900,0.122,2009.0
95,Delaware,0.5479999999999999,15,0.9329999999999999,95,0.9259999999999999,2009.0
96,Maine,0.57,89,0.9209999999999999,13945,0.034,2009.0
97,Indiana,0.5710000000000001,85,0.953,4141,0.183,2009.0
98,Massachusetts,0.632,193,0.9690000000000001,11361,0.126,2009.0
99,Illinois,0.73,49,0.878,958,0.271,2009.0
100,Iowa,0.733,56,0.946,1141,0.557,2009.0
101,Idaho,0.057999999999999996,27,0.815,9325,0.01,2010.0
102,Hawaii,0.078,42,1.0,5392,1.0,2010.0
103,Oregon,0.095,178,0.9209999999999999,19611,0.059000000000000004,2010.0
104,Alabama,0.114,34,0.971,476,0.9790000000000001,2010.0
105,New Mexico,0.11699999999999999,24,0.958,185,0.9890000000000001,2010.0
106,Kansas,0.145,21,0.9520000000000001,401,0.98,2010.0
107,Oklahoma,0.165,31,0.935,628,0.981,2010.0
108,Wyoming,0.18600000000000003,8,0.875,3481,0.9990000000000001,2010.0
109,Montana,0.204,26,0.731,41933,0.003,2010.0
110,Tennessee,0.223,90,0.9440000000000001,691,0.8340000000000001,2010.0
111,Washington,0.23399999999999999,150,0.9470000000000001,23991,0.059000000000000004,2010.0
112,North Dakota,0.24600000000000002,21,0.381,131159,0.004,2010.0
113,North Carolina,0.247,615,0.9640000000000001,7423,0.7559999999999999,2010.0
114,Louisiana,0.251,17,0.941,3411,0.17300000000000001,2010.0
115,MultiStateOperation,0.253,127,0.0,222437,0.0,2010.0
116,Texas,0.258,76,0.8420000000000001,112874,0.013999999999999999,2010.0
117,Mississippi,0.265,16,0.688,96053,0.001,2010.0
118,Vermont,0.267,119,0.958,1551,0.943,2010.0
119,Nevada,0.26899999999999996,6,0.667,3775,0.006999999999999999,2010.0
120,California,0.272,327,0.8290000000000001,248736,0.127,2010.0
121,Missouri,0.28600000000000003,161,1.0,2350,1.0,2010.0
122,New Jersey,0.287,110,0.9,2113,0.295,2010.0
123,Nebraska,0.293,16,0.813,79194,0.01,2010.0
124,Utah,0.295,117,0.983,4779,0.496,2010.0
125,Arkansas,0.302,43,0.953,297,0.96,2010.0
126,Kentucky,0.306,55,0.982,931,0.968,2010.0
127,Virginia,0.312,406,0.958,4145,0.586,2010.0
128,Arizona,0.314,7,1.0,41,1.0,2010.0
129,New Hampshire,0.314,84,0.976,890,0.987,2010.0
130,South Dakota,0.317,18,0.778,78217,0.001,2010.0
131,Minnesota,0.32,54,0.833,101255,0.09699999999999999,2010.0
132,Michigan,0.322,278,0.982,21212,0.222,2010.0
133,Massachusetts,0.34700000000000003,219,0.9540000000000001,13550,0.16899999999999998,2010.0
134,South Carolina,0.39,82,0.89,2757,0.213,2010.0
135,Florida,0.40299999999999997,133,0.932,28065,0.073,2010.0
136,Ohio,0.426,242,0.996,1577,0.9990000000000001,2010.0
137,Illinois,0.45,136,0.978,1045,0.955,2010.0
138,Maine,0.45899999999999996,106,0.953,14614,0.044000000000000004,2010.0
139,Indiana,0.461,152,1.0,1205,1.0,2010.0
140,Connecticut,0.466,102,0.951,884,0.568,2010.0
141,Rhode Island,0.48700000000000004,66,0.955,214,0.9440000000000001,2010.0
142,Maryland,0.495,172,0.977,1456,0.946,2010.0
143,Colorado,0.534,137,0.971,1744,0.536,2010.0
144,West Virginia,0.545,56,0.9109999999999999,559,0.855,2010.0
145,New York,0.585,217,0.922,7912,0.266,2010.0
146,Delaware,0.588,15,0.9329999999999999,61,0.8690000000000001,2010.0
147,Georgia,0.639,143,0.937,6006,0.221,2010.0
148,Iowa,0.66,28,0.9640000000000001,729,0.997,2010.0
149,Wisconsin,0.6629999999999999,126,0.96,2904,0.9690000000000001,2010.0
150,Pennsylvania,0.67,430,0.9840000000000001,7150,0.527,2010.0
151,Hawaii,0.055,29,1.0,9903,1.0,2011.0
152,Montana,0.07400000000000001,33,0.818,22862,0.053,2011.0
153,Alabama,0.078,40,0.95,539,0.985,2011.0
154,Louisiana,0.09699999999999999,23,1.0,2514,1.0,2011.0
155,Wyoming,0.107,6,1.0,3372,1.0,2011.0
156,Indiana,0.109,88,0.966,2168,0.366,2011.0
157,Idaho,0.115,42,0.905,12203,0.5670000000000001,2011.0
158,Missouri,0.11699999999999999,97,0.9790000000000001,1454,0.867,2011.0
159,Rhode Island,0.129,31,0.968,152,0.98,2011.0
160,Oregon,0.13,144,0.917,36105,0.198,2011.0
161,Utah,0.134,85,0.977,4962,0.098,2011.0
162,South Dakota,0.151,7,0.7140000000000001,28448,0.002,2011.0
163,Tennessee,0.16399999999999998,102,0.951,1246,0.84,2011.0
164,Michigan,0.17600000000000002,237,0.983,9293,0.382,2011.0
165,North Dakota,0.17800000000000002,12,0.16699999999999998,60837,0.035,2011.0
166,Washington,0.18,130,0.9309999999999999,45444,0.059000000000000004,2011.0
167,Vermont,0.18100000000000002,89,0.955,1923,0.4,2011.0
168,Virginia,0.184,533,0.983,3343,0.98,2011.0
169,New Jersey,0.18600000000000003,72,0.875,5195,0.107,2011.0
170,South Carolina,0.18899999999999997,86,0.953,5926,0.134,2011.0
171,Oklahoma,0.193,28,1.0,158,1.0,2011.0
172,Wisconsin,0.19399999999999998,138,0.9640000000000001,1594,0.893,2011.0
173,Massachusetts,0.19399999999999998,221,0.9640000000000001,12212,0.166,2011.0
